@relation 'WDF-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,12'

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material_ENC numeric
@attribute water_access_ENC numeric
@attribute wall_material_ENC numeric
@attribute years_electrified numeric
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute mu1 numeric
@attribute mu2 numeric
@attribute A1 numeric

@data
12005935,51,11479.59,1,0,3,6,30,194.501428,168.321006,6,21,2.500256
12028737,88,3977.27,4,4,3,2,26,580.11111,541.902041,8,21,3.530059
7083,140,2380.95,7,4,0,1,4,135.086028,126.711166,6,19,0.857208
7654,27,2380.95,14,6,1,4,5,147.739838,114.056888,6,19,0.965707
1001844,113,4491.87,18,4,2,1,16,224.618489,161.183689,6,19,1.881148
1003195,54,10805.5,3,7,3,6,5,207.381196,167.412937,5,19,0.904064
1005683,24,6493.71,7,4,0,4,5,350.767207,231.959601,5,19,4.904649
12001602,37,1527.58,2,4,2,4,4,75.420333,59.873555,5,19,0.807438
1006430,37,1828.91,3,4,2,4,14,240.733999,236.746152,5,17,2.269128
2346,50,8793.97,5,4,0,5,2,169.751607,126.180969,6,18,1.316179
5403,200,26381.91,5,7,3,6,3,855.736722,535.373967,6,18,6.958641
1002619,87,3064.83,1,4,2,4,7,240.978264,227.025183,7,18,0.901748
1002976,127,9823.18,2,4,2,2,3,655.588381,606.780928,7,18,1.549072
12006022,51,30612.24,2,0,3,6,1,186.537857,110.79149,6,18,2.272157
12007040,107,2563.78,5,4,2,1,8,341.591657,195.909201,6,18,2.507229
105,40,9749.3,4,4,2,1,4,287.91418,201.479185,10,18,1.22702
2267,56,3183.02,3,0,3,2,10,198.11283,173.238682,5,19,2.728299
7058,76,3571.43,8,4,0,1,4,144.175581,76.984379,4,19,0.388696
1000420,21,1030.93,4,4,0,4,3,148.344981,151.946012,6,19,1.402325
1002956,88,1335.95,8,4,2,1,2,102.675125,175.590043,4,19,0.248648
1004233,46,4699.25,3,4,2,6,10,139.693916,89.720276,3,19,1.200257
1004347,66,2218.05,7,4,0,4,10,313.053062,294.196195,6,19,3.206234
1006199,83,353.98,2,4,2,2,9,174.571538,82.781444,6,19,1.147313
12005064,96,1347.71,1,4,3,6,20,577.031508,526.630506,5,19,6.160714
12028226,53,1136.36,1,7,3,2,19,165.142555,154.415136,6,19,0.574339
153,50,21509.43,6,0,3,2,10,153.941253,478.495944,6,20,5.047255
622,99,892.86,2,4,2,5,3,114.174159,81.198558,6,20,1.963985
1002520,39,3300.59,3,0,3,2,16,240.729919,80.717213,10,20,2.272189
892,250,0,5,7,3,2,5,1347.810415,861.56042,10,21,8.499736
3207,125,47738.69,1,7,3,2,1.5,146.529145,126.967679,9,18,0.789065
1002689,48,13261.3,4,7,3,6,6,435.177153,369.337987,7,21,6.764991
12006568,62,1275.51,5,4,2,1,13,350.889898,231.888189,6,18,1.89522
12007261,56,510.2,2,4,2,6,7,219.753979,138.870813,6,18,1.552811
12025743,19,352.27,1,4,2,1,18,138.59161,138.12656,6,18,1.579722
2278,63,3448.28,3,0,2,2,3,99.49073,79.19883,6,18,1.874978
8270,88,2178.65,4,4,3,2,5,128.191063,142.727354,6,19,1.469787
11245,29,1350.76,3,4,2,1,4,249.219763,150.577178,6,18,1.461795
1002516,38,4243.61,5,0,3,6,16,248.722345,101.261675,9,19,1.093075
1004400,410,122180.45,4,7,3,6,2,2171.804038,605.383349,7,19,27.434604
12001524,153,2828.85,3,4,2,1,9,255.0453,147.732002,6,19,0.97178
12003097,136,1388.14,0,4,2,6,15,495.117579,398.057378,10,19,3.007765
10227,31,1350.76,1,4,0,1,5,460.198001,174.114675,6,19,1.217016
1002574,41,3654.22,5,7,3,2,14,283.68702,161.1196,5,18,2.152127
1003865,50,12218.05,4,7,3,6,1,449.28372,289.204966,8,22,3.442946
1004425,650,131580.83,2,7,3,6,3,1672.820612,314.696667,7,18,2.04449
12008734,128,3061.22,1,4,2,6,20,205.430161,150.800501,8,16,1.404915
10806,72,7625.27,2,7,3,6,27,507.808226,394.833174,9,18,2.516924
1002927,24,1925.34,3,4,2,1,2,95.447126,91.243927,8,18,1.015334
1003199,63,4420.43,3,7,3,6,6,394.622027,329.036641,6,20,2.084594
1003931,41,3947.37,5,7,3,1,14,296.131062,254.226034,7,20,3.321754
1004287,62,1541.35,4,4,2,4,8,589.696781,663.45009,6,18,7.569449
1006473,60,1843.66,2,4,0,4,18,157.250439,143.416197,6,18,2.367132
12002923,178,4596.89,4,4,2,1,15,378.464725,302.05689,9,20,1.057946
12004670,108,6064.69,3,4,2,6,23,211.005053,280.103377,7,18,0.82931
12026185,40,5681.82,1,4,3,6,20,688.216221,727.597159,8,18,2.573333
8487,20,4357.3,4,4,0,4,2,143.618236,61.896143,7,19,1.302876
10499,120,1089.32,6,4,0,2,6,229.054707,202.491298,6,19,1.811934
1002984,41,1964.64,2,0,3,2,14,186.083151,89.003615,6,19,1.693168
12005389,16,8928.57,2,4,2,5,1,1522.889241,783.683171,9,19,5.692353
900,70,5988.86,4,0,2,2,10,414.055538,368.500365,5,21,2.597874
1003835,70,24436.09,6,7,3,6,11,548.272813,231.74735,7,21,5.217423
1003891,39,11278.2,3,0,3,6,1,426.785498,366.223455,7,21,1.817044
12027723,36,4034.09,5,4,3,3,22,733.73518,541.121386,6,18,6.313788
12001619,88,2234.79,4,4,2,1,7,160.185431,111.565214,9,17,0.826098
7120,84,25000,2,7,3,6,3,455.712229,410.361766,8,20,2.229556
8420,48,2832.24,7,4,2,2,10,129.015737,186.345779,6,20,0.973694
1002687,48,6876.23,6,7,3,6,6,539.301572,473.097833,6,20,1.707814
1003092,60,3929.27,5,4,2,1,2,196.877471,166.709629,5,20,0.640708
596,40,2083.33,5,4,2,5,3,122.841185,103.208835,9,19,0.754574
4137,56,2652.52,5,1,3,1,19,711.408034,558.798011,6,19,8.66387
3333,406,70351.76,2,7,3,2,3,538.905422,574.613769,7,19,7.126823
10446,75,6564.27,7,4,0,1,7,309.240139,180.254693,9,19,1.110477
1000284,35,7216.49,8,4,0,4,6,114.53207,92.684761,4,18,1.049174
12004345,108,3315.36,8,4,2,6,12,378.965461,671.804412,6,18,2.898148
12028299,140,2238.64,4,4,2,6,13,368.489427,345.639566,9,18,1.780232
136,50,12452.83,5,0,3,2,10,199.650042,604.935858,7,17,3.956275
3274,110,53050.4,2,7,3,2,1,273.539984,261.152049,7,19,1.756029
4692,96,22546.42,4,7,3,6,7,794.922954,1015.805286,6,20,2.745036
1002778,99,18762.28,5,7,3,6,15,458.036169,289.737142,5,14,3.46561
593,35,2976.19,4,4,2,5,3,175.47402,155.704377,6,19,1.841562
891,190,27855.15,6,7,3,2,1,692.332438,332.293829,8,20,4.587186
3127,77,21220.16,3,7,3,2,1,535.252825,514.4241,8,21,2.017559
4678,224,22546.42,3,0,3,6,4,423.169107,426.676117,10,20,2.335719
4680,300,30503.98,4,7,3,2,15,1070.22388,967.008964,7,20,12.316434
