@relation WDF

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material_ENC numeric
@attribute water_access_ENC numeric
@attribute wall_material_ENC numeric
@attribute years_electrified numeric
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute mu1 numeric
@attribute mu2 numeric
@attribute A2 numeric

@data
887,190,0,1,7,3,6,1,300.151381,323.618095,6,20,2.303653
889,180,22284.12,4,7,3,2,9,699.475182,379.942943,6,19,4.827107
891,190,27855.15,6,7,3,2,1,692.332438,332.293829,8,20,9.128178
892,250,0,5,7,3,2,5,1347.810415,861.56042,10,21,17.331791
899,80,4178.27,6,0,3,2,7,326.073412,292.33036,5,18,2.701172
900,70,5988.86,4,0,2,2,10,414.055538,368.500365,5,21,5.304779
902,80,2225.63,12,0,2,2,4,287.817229,196.532853,7,18,2.723421
903,70,4735.38,5,0,3,2,6,294.717792,264.75462,5,18,2.900574
904,80,38997.21,4,0,3,2,4,752.739168,541.630278,5,19,3.582423
905,70,2618.38,8,0,2,2,6,632.334653,465.139621,6,17,6.888597
909,70,2618.38,2,0,3,2,10,710.808099,359.800131,5,18,3.833615
911,80,1309.19,4,0,3,2,5,330.832327,200.833305,6,18,5.074266
912,80,6963.79,8,0,3,2,7,537.863281,374.228828,5,19,5.528641
913,70,3621.17,6,0,3,2,10,787.173807,458.757061,5,17,5.848486
914,80,13927.58,5,0,3,2,10,281.775477,217.068151,9,18,2.534925
916,70,5952.65,4,0,2,2,4,308.062044,216.401411,5,19,4.693927
919,70,8662.95,2,0,3,2,6,959.327044,586.342503,8,18,7.056576
921,80,696.38,5,0,3,2,13,493.67352,325.008332,7,17,6.35008
923,70,2618.38,2,0,3,2,5,385.268101,230.085385,7,19,5.738264
924,70,2785.52,7,0,3,2,6,538.47005,347.617695,5,17,8.072367
926,120,3342.62,5,4,0,4,1,278.872606,154.353833,10,18,2.585619
928,104,1114.21,9,4,0,1,3,622.25251,591.547172,6,18,3.154909
929,21,23398.33,5,4,0,4,3,373.538821,302.656427,8,18,4.337914
932,44,1114.21,4,4,0,8,3,162.136971,145.660454,8,18,1.910461
933,54,1114.21,5,4,0,4,3,90.445929,135.879354,2,20,0.02978
934,40,1392.76,4,4,0,4,2,229.346905,424.091299,7,18,3.942535
937,49,5013.93,5,4,0,4,4,83.18862,57.202003,6,21,0.633372
942,45,835.65,2,4,0,4,2,271.292906,221.689386,8,18,2.555884
947,77,1671.31,4,4,2,4,3,79.025534,60.615787,5,18,0.459939
1148,42,3621.17,6,4,2,5,4,242.991723,223.88507,8,20,2.528638
1157,104,6239.55,4,4,2,5,4,123.411248,105.505275,8,19,1.891795
1158,66,2701.95,4,4,2,5,4,109.822578,108.807809,7,19,1.312671
1163,48,2785.52,1,4,2,1,4,99.918071,89.647801,7,19,1.664683
1165,88,4735.38,5,4,2,5,4,163.452908,156.666801,6,18,2.823251
1166,240,5571.03,2,4,3,2,15,838.485296,460.549552,6,19,6.80008
1167,255,13927.58,3,4,3,6,30,2375.152631,832.928427,8,18,14.585575
1171,260,22284.12,2,7,3,2,5,585.891556,240.16569,6,18,11.639736
1172,192,19498.61,5,4,3,2,26,496.524413,225.515338,6,19,7.601392
1179,216,11142.06,1,4,3,2,1,694.380413,274.081982,7,19,4.140882
1181,121,0,1,4,3,6,13,571.276881,339.7064,10,19,0.274928
1182,121,1364.9,2,4,3,1,10,552.409168,324.233439,7,21,4.22305
1183,64,4178.27,4,4,3,2,6,650.915397,331.093086,7,18,6.563849
1185,180,13927.58,5,4,3,6,8,1085.516048,577.238639,6,20,9.003564
1186,156,7799.44,5,4,3,2,2,1001.68195,398.539843,6,19,9.028846
1187,165,0,4,4,3,2,16,1610.701266,752.894702,6,18,13.458213
1189,156,4456.82,4,7,3,2,11,822.085187,372.48862,7,19,8.805143
1191,306,13091.92,7,4,3,2,28,2030.618558,837.103052,6,20,14.96578
