@relation 'combine_winter_dataframe-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,12'

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material_ENC numeric
@attribute water_access_ENC numeric
@attribute wall_material_ENC numeric
@attribute years_electrified numeric
@attribute Province_ENC numeric
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute mu1 numeric
@attribute A1 numeric
@attribute mu2 numeric
@attribute A2 numeric
@attribute sigma2 numeric

@data
647,140,2380.95,3,4,2,5,3,0,135.152505,125.630324,7,0.937567,19,1.617534,0.681818
662,208,7440.48,6,4,3,6,5,2,824.481133,620.153262,7,8.309439,17,13.711715,2.666667
663,144,0,1,4,3,6,11,2,536.437505,466.25053,9,5.686001,18,0.645658,2.727273
664,132,1398.81,1,4,3,6,5,2,752.499056,308.284963,7,8.164306,19,8.790484,1.538462
667,255,11904.76,5,4,3,6,7,2,1452.853307,890.279643,6,20.476457,19,14.845556,1.666667
673,306,16369.05,10,4,3,2,27,2,1832.653328,1108.697706,6,8.996724,20,13.356511,2.222222
674,216,18764.88,5,4,3,2,13,2,1396.453433,949.660653,7,7.969871,19,17.633068,2.857143
682,135,9226.19,4,4,3,2,3,2,791.642273,596.954559,6,6.730764,18,8.498042,2.413793
686,96,13467.26,5,7,3,2,5,2,679.979646,514.228133,10,3.586951,19,7.108154,2.285714
688,324,14880.95,5,4,3,2,2,2,967.579575,730.402563,5,7.032128,18,8.307081,1.304348
689,224,11904.76,4,4,3,2,2,2,995.914918,768.177542,7,16.309827,19,13.009444,0.9375
697,210,0,3,4,3,6,18,2,1168.604288,780.78993,8,12.861524,18,13.167384,2.222222
698,180,7440.48,5,7,3,2,34,2,933.90408,640.575024,7,9.342099,18,8.289713,4
701,240,0,9,7,3,6,5,2,2497.824512,1142.263101,6,14.663564,20,13.455404,1.758242
704,143,2797.62,2,4,3,2,5,2,1045.980508,610.678454,6,7.634188,20,5.939288,1.935484
705,143,4761.9,5,4,3,6,5,2,1178.673854,747.582103,6,12.743119,16,9.038973,2.5
712,195,14880.95,3,4,3,6,18,2,1114.010099,910.143636,7,11.364319,19,12.033761,2.857143
717,182,3779.76,3,4,3,6,23,2,552.47035,534.769792,10,5.8385,19,6.747826,2.5
718,210,22916.67,4,4,3,2,5,2,802.389087,834.832782,6,8.783835,18,9.975854,2.758621
720,323,17857.14,4,7,3,6,20,2,735.532254,609.194856,6,5.315818,19,8.596367,3.030303
721,225,13392.86,5,4,3,6,12,2,956.188289,810.102221,7,7.04654,21,9.894152,2.564103
729,72,2648.81,6,4,2,4,2,3,166.496762,69.54668,6,0.420556,19,1.428641,2.051282
732,108,3571.43,6,4,0,2,3,3,303.268433,114.867538,6,1.306068,16,2.86571,1.818182
740,72,3571.43,5,4,0,4,27,3,282.04501,99.171265,6,3.278318,18,3.709152,0.965517
742,90,5357.14,5,4,2,4,15,3,251.369059,77.205146,6,1.754068,18,4.058619,1.298701
745,29,1785.71,4,4,2,4,3,3,1172.395172,535.990581,6,8.213586,19,8.822968,2.028986
746,112,1041.67,10,4,0,1,3,3,217.527437,188.226856,6,2.642216,17,3.168137,1.052632
747,90,892.86,5,7,0,1,4,3,343.196187,221.44359,6,2.430924,18,3.122359,1.061947
749,112,5952.38,6,7,3,2,4,3,209.362359,72.498076,5,3.672775,19,2.418641,1.454545
755,67,7142.86,2,4,2,4,3,3,229.17829,105.301553,6,1.704256,19,3.61519,0.923077
758,48,5565.48,3,4,0,1,3,3,1411.030194,420.936888,8,3.280485,19,4.356041,3.888889
759,72,2678.57,5,4,2,1,3,3,242.773995,99.128039,6,1.389222,18,3.023046,1.025641
760,82,5773.81,7,4,0,4,3,3,431.404964,193.939559,8,2.407051,19,4.995129,1.666667
761,55,1190.48,3,4,2,4,3,3,398.655112,165.694423,8,2.867636,17,3.740986,2.380952
763,48,3422.62,1,4,0,4,3,3,886.870106,464.243768,6,8.998329,19,6.507302,1.83908
770,72,4761.9,5,4,0,4,4,3,543.492939,182.707194,5,6.371175,19,6.684873,0.851064
773,54,8035.71,5,4,2,4,15,3,84.999578,128.957003,6,2.718575,19,3.329158,0.662252
777,72,2380.95,6,4,0,4,3,3,123.62092,54.367681,6,0.795449,19,2.019261,0.869565
779,67,1190.48,6,4,3,4,20,3,77.86048,122.235272,6,3.947649,19,4.686702,2.258065
782,90,892.86,5,4,2,4,3,3,131.710791,119.801203,6,1.031698,19,1.973794,1.515152
783,48,1190.48,4,4,2,4,20,3,191.014306,119.310428,6,1.759656,19,2.875809,1.212121
785,29,1785.71,5,4,2,4,3,3,355.913646,296.894147,6,2.938201,18,3.689692,1.428571
787,90,892.86,3,4,0,4,4,3,597.348257,531.387836,6,3.854901,18,8.528956,1.481481
790,72,3273.81,5,4,0,4,3,3,229.206777,73.574684,5,2.390246,17,1.948688,1.923077
791,29,2232.14,5,4,2,4,3,3,185.769274,157.698949,7,1.264869,17,1.418399,2.222222
792,48,5773.81,9,4,0,4,3,3,74.182745,77.786847,6,0.586328,18,1.082656,0.104275
799,72,2619.05,3,4,2,1,4,3,592.398761,228.394428,6,4.776598,18,8.526439,1.702128
803,91,1488.1,5,4,3,2,9,1,139.317987,99.680291,6,0.678399,15,1.723606,2.051282
804,56,3125,2,4,2,2,3,1,281.496407,144.537711,2,2.485674,20,4.082182,2.439024
805,120,4761.9,4,4,2,2,3,1,200.128969,164.471839,7,2.424248,18,3.44768,2.564103
809,49,2559.52,4,4,3,2,10,1,123.421478,60.709934,6,3.095051,19,2.328365,2.380952
813,120,2172.62,11,4,2,1,9,1,124.985894,52.773085,7,1.245238,19,0.98836,1.818182
814,49,1785.71,5,4,2,2,5,1,95.384152,53.364553,7,1.546364,19,1.43894,2.8
816,108,2083.33,2,4,2,2,9,1,526.19479,128.082603,7,7.105049,20,7.844899,0.461538
819,36,2976.19,4,4,2,2,4,1,996.290623,285.350427,8,11.031607,18,12.522542,3
822,63,7440.48,7,4,3,2,9,1,393.319095,106.530625,7,10.24243,20,6.889355,2.181818
826,90,446.43,3,4,2,2,9,1,243.4996,102.47783,5,5.914285,19,4.783679,1.428571
827,35,2380.95,3,4,2,2,4,1,387.331045,106.362275,8,3.332523,19,4.086284,0.851064
830,240,2797.62,2,4,3,2,15,2,713.301841,837.648229,7,5.094944,18,6.241726,2.051282
833,210,7440.48,3,4,3,6,2,2,658.947959,628.845958,7,7.480955,18,12.285411,1.318681
834,195,0,3,4,3,2,28,2,1023.328004,932.864354,8,11.877517,18,10.301575,1
837,168,11907.74,4,7,3,2,4,8,952.656663,706.043711,9,6.113336,19,12.187237,4
3,210,27855.15,2,4,3,6,2,8,994.282506,569.030589,7,5.512601,20,8.28832,1.081081
4,180,11142.06,2,7,3,2,5,8,619.423681,404.916203,10,6.521461,18,5.361145,2.5
5,190,27855.15,5,7,3,2,10,8,884.76718,510.245011,7,12.142991,20,13.113563,1.639344
6,190,22284.12,3,7,3,6,1,8,538.049648,331.499595,7,11.216377,17,5.87336,0.902256
8,270,25069.64,4,7,3,2,6,8,176.74138,195.239508,7,7.883521,18,5.144755,0.606061
10,80,15320.33,5,0,3,2,13,3,554.679979,405.133445,6,3.599299,17,4.47715,2.631579
11,80,1309.19,3,0,3,2,14,3,605.951366,421.836118,9,3.394726,17,6.76802,1.111111
12,80,5571.03,1,0,3,2,13,3,249.52274,200.98027,4,1.802885,20,1.427355,1.2
14,70,12451.25,6,0,2,2,6,3,528.844564,472.252682,8,2.571487,17,6.284968,2.5
16,80,2618.38,7,0,3,2,6,3,971.023747,615.621167,5,6.012949,17,7.085506,2.666667
17,70,4094.71,5,0,3,2,6,3,788.21495,631.112013,6,6.329939,16,8.10954,2.222222
19,80,2618.38,6,0,3,2,4,3,177.198525,157.806094,6,0.622651,18,2.025827,1.025641
20,70,4178.27,1,0,3,2,7,3,123.765898,105.193289,5,2.595175,19,1.712272,1.5
21,80,417.83,4,0,3,2,10,3,312.292213,240.98206,6,2.876494,18,3.451721,0.96
22,80,5571.03,3,0,3,2,13,3,541.374755,410.725031,5,5.516055,18,3.809772,0.662983
