@relation WDF_large_small_R

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material {Asbestos,Tiles,Plastic,Blocks,IBR/Corr.Iron/Zinc,Concrete,'Wood/Masonite board',Thatch/Grass}
@attribute water_access {'tap inside house','tap in yard','nearby river/dam/borehole','block/street taps'}
@attribute wall_material {Brick,Blocks,Asbestos,Plaster,Daub/Mud/Clay,IBR/Corr.Iron/Zinc,'Wood/Masonite board',Plastic,Concrete}
@attribute years_electrified numeric
@attribute Province {WC,KZN,EC,GP,FS,LIM,NC,NW,MP}
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute mu1 numeric
@attribute mu2 numeric
@attribute A2 numeric

@data
732,108,3571.43,6,IBR/Corr.Iron/Zinc,'block/street taps',Brick,3,KZN,303.268433,114.867538,6,16,2.86571
740,72,3571.43,5,IBR/Corr.Iron/Zinc,'block/street taps',Daub/Mud/Clay,27,KZN,282.04501,99.171265,6,18,3.709152
742,90,5357.14,5,IBR/Corr.Iron/Zinc,'tap in yard',Daub/Mud/Clay,15,KZN,251.369059,77.205146,6,18,4.058619
745,29,1785.71,4,IBR/Corr.Iron/Zinc,'tap in yard',Daub/Mud/Clay,3,KZN,1172.395172,535.990581,6,19,8.822968
746,112,1041.67,10,IBR/Corr.Iron/Zinc,'block/street taps',Blocks,3,KZN,217.527437,188.226856,6,17,3.168137
747,90,892.86,5,Tiles,'block/street taps',Blocks,4,KZN,343.196187,221.44359,6,18,3.122359
749,112,5952.38,6,Tiles,'tap inside house',Brick,4,KZN,209.362359,72.498076,5,19,2.418641
755,67,7142.86,2,IBR/Corr.Iron/Zinc,'tap in yard',Daub/Mud/Clay,3,KZN,229.17829,105.301553,6,19,3.61519
758,48,5565.48,3,IBR/Corr.Iron/Zinc,'block/street taps',Blocks,3,KZN,1411.030194,420.936888,8,19,4.356041
759,72,2678.57,5,IBR/Corr.Iron/Zinc,'tap in yard',Blocks,3,KZN,242.773995,99.128039,6,18,3.023046
760,82,5773.81,7,IBR/Corr.Iron/Zinc,'block/street taps',Daub/Mud/Clay,3,KZN,431.404964,193.939559,8,19,4.995129
761,55,1190.48,3,IBR/Corr.Iron/Zinc,'tap in yard',Daub/Mud/Clay,3,KZN,398.655112,165.694423,8,17,3.740986
763,48,3422.62,1,IBR/Corr.Iron/Zinc,'block/street taps',Daub/Mud/Clay,3,KZN,886.870106,464.243768,6,19,6.507302
770,72,4761.9,5,IBR/Corr.Iron/Zinc,'block/street taps',Daub/Mud/Clay,4,KZN,543.492939,182.707194,5,19,6.684873
773,54,8035.71,5,IBR/Corr.Iron/Zinc,'tap in yard',Daub/Mud/Clay,15,KZN,84.999578,128.957003,6,19,3.329158
777,72,2380.95,6,IBR/Corr.Iron/Zinc,'block/street taps',Daub/Mud/Clay,3,KZN,123.62092,54.367681,6,19,2.019261
779,67,1190.48,6,IBR/Corr.Iron/Zinc,'tap inside house',Daub/Mud/Clay,20,KZN,77.86048,122.235272,6,19,4.686702
782,90,892.86,5,IBR/Corr.Iron/Zinc,'tap in yard',Daub/Mud/Clay,3,KZN,131.710791,119.801203,6,19,1.973794
783,48,1190.48,4,IBR/Corr.Iron/Zinc,'tap in yard',Daub/Mud/Clay,20,KZN,191.014306,119.310428,6,19,2.875809
785,29,1785.71,5,IBR/Corr.Iron/Zinc,'tap in yard',Daub/Mud/Clay,3,KZN,355.913646,296.894147,6,18,3.689692
790,72,3273.81,5,IBR/Corr.Iron/Zinc,'block/street taps',Daub/Mud/Clay,3,KZN,229.206777,73.574684,5,17,1.948688
791,29,2232.14,5,IBR/Corr.Iron/Zinc,'tap in yard',Daub/Mud/Clay,3,KZN,185.769274,157.698949,7,17,1.418399
792,48,5773.81,9,IBR/Corr.Iron/Zinc,'block/street taps',Daub/Mud/Clay,3,KZN,74.182745,77.786847,6,18,1.082656
799,72,2619.05,3,IBR/Corr.Iron/Zinc,'tap in yard',Blocks,4,KZN,592.398761,228.394428,6,18,8.526439
803,91,1488.1,5,IBR/Corr.Iron/Zinc,'tap inside house',Brick,9,FS,139.317987,99.680291,6,15,1.723606
804,56,3125,2,IBR/Corr.Iron/Zinc,'tap in yard',Brick,3,FS,281.496407,144.537711,2,20,4.082182
805,120,4761.9,4,IBR/Corr.Iron/Zinc,'tap in yard',Brick,3,FS,200.128969,164.471839,7,18,3.44768
809,49,2559.52,4,IBR/Corr.Iron/Zinc,'tap inside house',Brick,10,FS,123.421478,60.709934,6,19,2.328365
813,120,2172.62,11,IBR/Corr.Iron/Zinc,'tap in yard',Blocks,9,FS,124.985894,52.773085,7,19,0.98836
814,49,1785.71,5,IBR/Corr.Iron/Zinc,'tap in yard',Brick,5,FS,95.384152,53.364553,7,19,1.43894
816,108,2083.33,2,IBR/Corr.Iron/Zinc,'tap in yard',Brick,9,FS,526.19479,128.082603,7,20,7.844899
819,36,2976.19,4,IBR/Corr.Iron/Zinc,'tap in yard',Brick,4,FS,996.290623,285.350427,8,18,12.522542
822,63,7440.48,7,IBR/Corr.Iron/Zinc,'tap inside house',Brick,9,FS,393.319095,106.530625,7,20,6.889355
826,90,446.43,3,IBR/Corr.Iron/Zinc,'tap in yard',Brick,9,FS,243.4996,102.47783,5,19,4.783679
827,35,2380.95,3,IBR/Corr.Iron/Zinc,'tap in yard',Brick,4,FS,387.331045,106.362275,8,19,4.086284
830,240,2797.62,2,IBR/Corr.Iron/Zinc,'tap inside house',Brick,15,GP,713.301841,837.648229,7,18,6.241726
833,210,7440.48,3,IBR/Corr.Iron/Zinc,'tap inside house',Plaster,2,GP,658.947959,628.845958,7,18,12.285411
834,195,0,3,IBR/Corr.Iron/Zinc,'tap inside house',Brick,28,GP,1023.328004,932.864354,8,18,10.301575
3,210,27855.15,2,IBR/Corr.Iron/Zinc,'tap inside house',Plaster,2,WC,994.282506,569.030589,7,20,8.28832
4,180,11142.06,2,Tiles,'tap inside house',Brick,5,WC,619.423681,404.916203,10,18,5.361145
5,190,27855.15,5,Tiles,'tap inside house',Brick,10,WC,884.76718,510.245011,7,20,13.113563
6,190,22284.12,3,Tiles,'tap inside house',Plaster,1,WC,538.049648,331.499595,7,17,5.87336
10,80,15320.33,5,Asbestos,'tap inside house',Brick,13,KZN,554.679979,405.133445,6,17,4.47715
11,80,1309.19,3,Asbestos,'tap inside house',Brick,14,KZN,605.951366,421.836118,9,17,6.76802
12,80,5571.03,1,Asbestos,'tap inside house',Brick,13,KZN,249.52274,200.98027,4,20,1.427355
14,70,12451.25,6,Asbestos,'tap in yard',Brick,6,KZN,528.844564,472.252682,8,17,6.284968
16,80,2618.38,7,Asbestos,'tap inside house',Brick,6,KZN,971.023747,615.621167,5,17,7.085506
17,70,4094.71,5,Asbestos,'tap inside house',Brick,6,KZN,788.21495,631.112013,6,16,8.10954
19,80,2618.38,6,Asbestos,'tap inside house',Brick,4,KZN,177.198525,157.806094,6,18,2.025827
22,80,5571.03,3,Asbestos,'tap inside house',Brick,13,KZN,541.374755,410.725031,5,18,3.809772
25,70,5292.48,4,Asbestos,'tap inside house',Brick,12,KZN,211.624726,119.423261,9,17,3.284395
26,80,1309.19,11,Asbestos,'tap in yard',Brick,2,KZN,602.168032,445.079365,5,18,8.492182
28,80,9749.3,11,Asbestos,'tap inside house',Brick,2,KZN,674.020419,466.731096,5,16,5.114877
32,80,1309.19,6,Asbestos,'tap inside house',Brick,7,KZN,905.20804,537.238015,5,18,9.341282
33,70,4178.27,2,Asbestos,'tap inside house',Brick,16,KZN,755.98125,513.585766,8,18,8.655988
34,80,6963.79,6,Asbestos,'tap inside house',Brick,6,KZN,398.867288,265.629109,9,18,3.658594
35,80,6963.79,6,Asbestos,'tap inside house',Brick,11,KZN,568.31059,396.428478,5,18,6.25017
37,150,3621.17,8,Asbestos,'tap inside house',Brick,7,KZN,1029.352305,647.551226,6,18,14.314771
40,81,3342.62,7,Asbestos,'block/street taps',Daub/Mud/Clay,3,KZN,300.699826,146.647486,6,18,2.946519
41,110,696.38,7,IBR/Corr.Iron/Zinc,'block/street taps',Blocks,14,KZN,148.421924,137.82905,6,19,1.456149
42,42,668.52,13,IBR/Corr.Iron/Zinc,'block/street taps',Daub/Mud/Clay,3,KZN,227.820869,273.178014,6,18,1.170625
51,96,3064.07,5,IBR/Corr.Iron/Zinc,'tap in yard',Daub/Mud/Clay,3,KZN,489.254932,399.206453,5,16,6.6455
53,66,3342.62,8,IBR/Corr.Iron/Zinc,'block/street taps',Blocks,3,KZN,169.484295,138.071463,5,18,1.417198
60,63,696.38,6,IBR/Corr.Iron/Zinc,'block/street taps',Blocks,3,KZN,155.422957,164.010573,9,13,0.223944
61,30,696.38,10,IBR/Corr.Iron/Zinc,'block/street taps',Brick,3,KZN,164.15411,151.166682,3,17,1.522428
